clean_owner,HFCISFacilityAddress,HFCISFacilityCity,HFCISFacilityCounty,HFCISFacilityID,HFCISFacilityName,HFCISFacilityZIPCode,HFCISNPINumber,HFCISFacilityProviderNumber,HFCISInitialLicenseDate
Valley Village,20661 Lemarsh St,Chatsworth,LOS ANGELES,960001895,VALLEY VILLAGE LE MARSH HOUSE,91311,1689727315,05G825,1995-06-09
"Hope House For The Multiple-Handicapped, Inc.",11338 Ranchito St,El Monte,LOS ANGELES,960001196,THE RANCHITO,91732,1154466928,05G479,1990-09-20
"T.E.R.I., Inc.",1736 Anza Ave,Vista,SAN DIEGO,090000120,ANZA HOUSE,92084,1962488007,05G082,
"Developmental Client Care Industries, Inc.",24487 Delphinium Ave,Moreno Valley,RIVERSIDE,250000732,DELPHINIUM HOUSE,92553,1356490346,05G375,1989-07-11
BrightSpring,60 Brentford Circle,Sacramento,SACRAMENTO,100000834,RCCA - BRENTFORD,95823,1598892648,05G347,
"Laguna ICF, Inc.",294 Laguna Drive,Tracy,SAN JOAQUIN,100001399,"LAGUNA ICF, INC.",95376,1336290014,55G143,1996-08-23
"J and P Homes, Inc.",8472 San Capistrano Way,Buena Park,ORANGE,630010887,J AND P HOMES - SAN CAPISTRANO,90620,1346338282,55G572,2006-09-20
"Elizabeth G. Santos, Inc.",6280 San Ricardo Way,Buena Park,ORANGE,060001998,ELIZABETH HOMES - SAN RICARDO WAY,90620,1437241692,55G419,2002-01-03
Rita Reginaldo-Roxas,1644 Cheney Lane,Hayward,ALAMEDA,630012506,CHENEY HOME ICF-DD/N,94545,1477888675,55G650,2010-02-09
Best Options Limited Liability CO.,18160 Mescal Street,Rowland Heights,LOS ANGELES,630016816,ROWLAND HEIGHTS COMMUNITY HOME,91748,1003268178,55G779,2018-12-11
Todd and Renee Brown,5025 Marshburn Cir,Yorba Linda,ORANGE,060001074,GARDEN PARK,92886,1972609998,05G710,1991-04-15
"Independent Options, Inc.",5124 Via Mindanao,Oceanside,SAN DIEGO,090001336,VIA MINDANAO HOUSE,92057,1851463483,55G010,1996-07-02
"Therapeutic Living Centers for the Blind, Inc.",9530 Donna Ave,Northridge,LOS ANGELES,960002094,TLC - DONNA HOUSE,91324,1366651101,55G090,1997-01-27
"Monte Vista Child Care Center, Inc.",5535 Turquoise Ave,Rancho Cucamonga,SAN BERNARDINO,240001844,TURQUOISE DIVISION,91701,1003068479,55G394,2001-05-23
"Foothill Care Center, Inc.",1758 Big Dalton Ave,Baldwin Park,LOS ANGELES,960000945,GOLDEN STATE CARE CENTER,91706,1689655045,05G015,1966-04-05
Jonbec Care Incorporated,1010 Aaron Dr,Redlands,SAN BERNARDINO,240000111,AARON HOUSE,92374,1841330420,05G404,1989-10-19
Milestones Of Development Inc.,200 Lytham Way,Vallejo,SOLANO,010000164,MILESTONES OF DEVELOPMENT #5,94591,1427266329,05G092,1983-05-03
Home of Guiding Hands Corporation,1011 Pine Dr,El Cajon,SAN DIEGO,090001571,PINE DRIVE,92020,1427012863,55G426,2002-02-26
"Family Homes, Inc.",503 Crest View Ave,Belmont,SAN MATEO,220000988,CRESTVIEW ICF/DDN HOME,94002,1306902507,55G313,1999-08-02
Jonbec Care Incorporated,35284 Wildwood Canyon Rd,Yucaipa,SAN BERNARDINO,240000687,NORTHAMPTON HOUSE,92399,1619017118,05G414,1989-04-17
"Duke Facilities, Inc.",6142 Greenfield Lane,Stockton,SAN JOAQUIN,630011994,"DUKE FACILITIES, INC. #4",95207,1659525061,55G633,2009-02-25
CARING CONCERN RESIDENTIAL HOMES INC A CALIFORNIA CORPORATION,9002 Neath St,Ventura,VENTURA,050000642,CARING CONCERN RESIDENTIAL HOMES INC - NEATH,93004,1851587224,55G510,1992-05-13
Ability Pathways Incorporated,9310 Elben Ave,Sun Valley,LOS ANGELES,960002407,ELBEN DIVISION,91352,1376671362,55G295,1999-02-25
"Enriching, Inc.",9514 Smoke Tree Ave,Fountain Valley,ORANGE,060000075,"ENRICHING, INC.",92708,1114068509,05G149,1985-05-30
"Casa Health Care, Inc.",1456 N 2nd Ave,Upland,SAN BERNARDINO,240001868,CASA #3,91786,1366578668,55G424,2001-12-20
"Antioch ICF, Inc.",3117 San Juan Court,Antioch,CONTRA COSTA,140001352,SAN JUAN ICF,94509,1083832752,55G491,2004-05-24
AIC Health Care Inc.,27489 Portsmouth Avenue,Hayward,ALAMEDA,020001284,RUUS HOME ICF/DD-H,94545,1326257577,55G493,2004-04-01
BrightSpring,27889 Rainbow Ln,Highland,SAN BERNARDINO,240000853,RAINBOW HOUSE,92346,1437285251,05G459,1990-08-02
"Castles Care Homes, Inc.",7302 Excelsior Dr,Corona,RIVERSIDE,630010501,BERNADETTE HOUSE,92880,1255580668,55G580,2007-03-22
"North Valley Developmental Services, Inc.",11560 Wilvern Ln,Redding,SHASTA,230000780,NVDS - WILVERN HOUSE,96003,1295123834,55G726,2002-07-03
"Independent Options, Inc.",680 Donna Dr,Beaumont,RIVERSIDE,250001772,"INDEPENDENT OPTIONS, INC./DONNA HOUSE",92223,1851463483,55G456,2002-04-03
"Le Foyer, Inc.",16438 Blackhawk St,Granada Hills,LOS ANGELES,630012183,THE CARING BUNCH,91344,1043446024,55G640,2009-09-28
CA Department Of Developmental Services,26501 Avenue 140,Porterville,TULARE,170001877,PORTERVILLE DEVELOPMENTAL CENTER D/P ICFDD (STP),93257,1588615835,,
Orpas Corporation,25242 Campina Dr,Mission Viejo,ORANGE,060001672,CAMPINA HOME,92691,1851485908,55G325,2000-02-04
"T.E.R.I., Inc.",3081 Oriente Dr,Vista,SAN DIEGO,090000771,ORIENTE HOUSE,92084,1962488007,05G376,1989-06-29
Malama Hale Inc.,3262 Santa Isabella Court,Union City,ALAMEDA,020001292,JUSTIN'S HOME,94587,1447452586,55G524,2004-07-12
Terra Bella Communities,797 Lawrence Dr,Gilroy,SANTA CLARA,070000953,LAWRENCE HOUSE,95020,1376710335,05G956,1996-01-04
"Antioch ICF, Inc.",1204 Putnam Street,Antioch,CONTRA COSTA,140001344,PUTNAM ICF,94509,1073732673,55G218,2004-05-24
"Excellent Care Provider, Inc.",723 Maddux Dr,Daly City,SAN MATEO,220000926,KATHRYNE MANOR ICF/DD-H,94015,1982085981,55G156,1997-05-13
"David's House, LLC",3 Cedar Rdg,Irvine,ORANGE,630012838,DAVID'S HOUSE,92603,1568771244,55G664,2010-12-27
"Angel View, Inc.",16620 Via Vista,Desert Hot Springs,RIVERSIDE,630011652,MARION ASHLEY HOUSE,92240,1023242245,55G627,2008-03-13
Ability Pathways Incorporated,2472 Forbes Ave,Claremont,LOS ANGELES,960002295,FORBES DIVISION,91711,1669620852,55G242,1998-12-08
Foothill Care Center,5420 N Oakbank Ave,Covina,LOS ANGELES,960001790,OAKBANK HOME,91722,1962624288,05G796,1994-06-15
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,14109 Hubbard St,Sylmar,LOS ANGELES,960000882,UCP/SCF ICF/DD-H HUBBARD,91342,1922250968,05G306,1988-05-20
"Downey Care Homes, Inc.",7446 Muller St,Downey,LOS ANGELES,630013546,DOWNEY ADULT HOME CARE III,90241,1275741480,55G688,2012-04-06
Elena Dumitrescu,1240 Radcliff Ln,Hayward,ALAMEDA,020000987,ELENA'S ICF/DD-H #2,94545,1134286222,05G928,1995-06-19
Home of Guiding Hands Corporation,10045 Anja Pl,Lakeside,SAN DIEGO,090000727,ANJA HOUSE,92040,1114988847,05G348,1988-11-22
Sue Allen - Terry Spees,524 W Roberts Ave,Fresno,FRESNO,040001077,ALLEN-SPEES FAMILY HOME,93704,1770635450,05G972,1996-04-02
Valley Village,10415 Lurline Ave,Chatsworth,LOS ANGELES,960000883,VALLEY VILLAGE LURLINE HOUSE,91311,1245381961,05G349,1988-12-21
"Independent Options, Inc.",500 Julian Ct,Diamond Bar,LOS ANGELES,960000929,JULIAN HOUSE,91765,1851463483,05G370,1989-01-03
"De Leon Country Maureen's Home, LLC",3959 Walnut Ave,Chino,SAN BERNARDINO,240001828,COUNTRY MAUREEN'S HOME,91710,1669542924,55G369,2000-12-14
MARICRIS PASCUA,981 Gill Ave,Port Hueneme,VENTURA,050000655,OUR LADY OF FATIMA CHILDRENS HOME,93041,1710951652,05G849,1994-07-29
"Angel View, Inc.",2246 Paseo Roseta,Palm Springs,RIVERSIDE,250001661,THE DOLORES & BOB HOPE HOUSE,92262,1528105376,55G171,1997-11-24
"T.E.R.I., Inc.",6205 Alverton Dr,Carlsbad,SAN DIEGO,630012839,MICHALOWSKI HOME,92009,1962488007,55G665,2011-05-05
"Lin-Ros Best Home Care, Inc.",6127 Faust Ave,Lakewood,LOS ANGELES,960001904,"LIN-ROS BEST HOME CARE, INC.",90713,1902985195,05G949,1995-08-07
Alleluia,2256 Sterling Ave,Sanger,FRESNO,040000959,PEARL GATES HOME,93657,1396928727,05G860,1995-03-22
Tupaz Homes LLC,888 Clarkston Dr,San Jose,SANTA CLARA,070000817,TUPAZ HOME #4,95136,1083825541,55G749,1993-06-28
"Rainbow Horizons, Inc.",8723 Haskell Ave,North Hills,LOS ANGELES,960002040,RAINBOW HORIZONS,91343,1871711416,05G995,1996-05-29
"OC Care Centers, Inc.",127 N Queensbury St,Anaheim,ORANGE,630017553,QUEENSBURY HOME,92806,1972081651,55G780,2019-04-02
"Bethesda Lutheran Communities, Inc.",24472 Ferrocarril,Mission Viejo,ORANGE,060001366,BETHESDA LUTHERAN COMMUNITIES - FERROCARRIL,92691,1417010604,05G856,1995-03-22
"United Actions, Inc.",7119 Beryl St,Rancho Cucamonga,SAN BERNARDINO,240001193,ODESSEY HOME,91701,1952495988,05G669,1993-04-19
"United Care Provider, Inc.",4710 Kenmore Ave,Baldwin Park,LOS ANGELES,960001050,HOLY INFANT HOME FOR CHILDREN,91706,1417928458,05G489,1990-12-05
Leonila Padilla and Partner,11 Marshall Way,Vallejo,SOLANO,630001741,SANTA LUCIA,94589,1871774125,55G541,2005-08-08
"Petaluma ICF/DDH, Inc.",805 Petaluma Ave,Sonoma,SONOMA,010000431,PETALUMA ICF/DDH,95476,1265596373,55G416,1988-07-28
"Woodland Residential Services, Inc.",1571 Squaw Valley Drive,Woodland,YOLO,100001249,"WRS INC., SQUAW PROGRAM",95776,1942419817,55G124,1994-06-01
"Bay Horizon, Inc.",1618 S Grant St,San Mateo,SAN MATEO,220000527,SOUTH GRANT ICF/DD-H,94402,1073710976,55G086,1988-10-06
Home of Guiding Hands Corporation,10939 Greencastle St,Santee,SAN DIEGO,090001032,GREENCASTLE,92071,1649232661,05G634,1992-12-31
"Bethesda Lutheran Communities, Inc.",24575 Mosquero Ln,Mission Viejo,ORANGE,060000561,BETHESDA LUTHERAN COMMUNITIES  - MOSQUERO,92691,1417010604,05G195,1987-01-21
"Independent Options, Inc.",1625 Bronze Knoll Rd,Diamond Bar,LOS ANGELES,960001416,"INDEPENDENT OPTIONS, BRONZE KNOLL HOUSE",91765,1851463483,05G497,
Najay Service Corporation,24888 Heil Dr,Moreno Valley,RIVERSIDE,250001765,HEIL HOUSE,92553,1013099381,55G434,2001-12-20
Gary Green,13961 Kelsey Dr,Chico,BUTTE,230000778,NOVA DEVELOPMENTAL CENTERS-KELSEY HOUSE,95973,1134193600,55G430,2002-06-10
"Antelope Hills Manor ICF-DDN, Inc.",8533 Tullia Place,Antelope,SACRAMENTO,630012710,TULLIA PLACE  ICF/DD-N,95843,1528386786,55G656,2010-09-30
Elena P. and Apolonio T. Gabriel,1701 W. Elm Street,Lodi,SAN JOAQUIN,630012655,SUNSHINE ICF DDN,95242,1437473063,55G661,2010-10-27
Main Home LLC,21860 Main St,Hayward,ALAMEDA,020001114,MAIN ICF/DD-N,94541,1750377297,55G122,1997-04-23
BrightSpring,3080 Minoa Way,San Diego,SAN DIEGO,630011645,MINOA WAY,92139,1164658589,55G624,2009-01-21
Mouri Management Group Incorporated,187 N White Rd,San Jose,SANTA CLARA,630012069,SHINRAI-WHITE,95127,1982842894,55G641,2009-05-15
"Best Care Home I, Inc.",6555 California Avenue,Long Beach,LOS ANGELES,960001713,"BEST CARE HOME I, INC.",90805,1447325279,05G786,1993-10-19
"JANET'S ENTERPRISE, INC.",8271 Onyx Ave,Rancho Cucamonga,SAN BERNARDINO,240000612,LOGAN HOUSE,91730,1518016427,05G327,1988-09-22
AIC Health Care Inc.,1159 Citron Way,Hayward,ALAMEDA,020001246,CITRON WAY ICF/DD-H,94545,1386780286,55G378,1999-09-10
"Rose Lu Ann Homes, Inc.",5101 Ridglea Ave,Buena Park,ORANGE,060001999,RIDGLEA HOME,90621,1770669327,55G439,2002-06-28
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,13274 Dronfield Ave,Sylmar,LOS ANGELES,960001986,UCP DRONFIELD SOUTH,91342,1568614501,05G991,1996-02-13
"RichRon, Inc.",15525 Fellowship St,La Puente,LOS ANGELES,960002538,RCN PEDIATRIC CARE II,91744,1295916914,55G321,1999-12-30
"New Way Services, Inc.",385 Hill Avenue,Oakley,CONTRA COSTA,140001328,NEW WAY ICF/DD-N #N4,94561,1184779779,05G522,1999-03-15
Reseda Ranch,19013 Arminta St,Reseda,LOS ANGELES,630017928,RESEDA RANCH,91335,,,2020-01-29
"Developmental Client Care Industries, Inc.",13217 Running Deer Rd,Moreno Valley,RIVERSIDE,250000733,RUNNING DEER HOUSE,92553,,05G419,1989-07-11
"Shirley's Care Home, Inc.",2812 Appling Circle,Stockton,SAN JOAQUIN,100001398,SHIRLEY'S ICF/DD-N #1,95209,1417009507,05G976,1996-03-19
BrightSpring,720 W Rosewood Ct,Ontario,SAN BERNARDINO,240001111,ROSEWOOD HOUSE,91762,1528194487,05G632,1993-01-21
St. Mary Investments,14509 S Normandie Ave,Gardena,LOS ANGELES,960001601,NORMANDIE PLACE,90247,1407063886,05G639,
"RichRon, Inc.",1520 N Hacienda Blvd,La Puente,LOS ANGELES,960001894,RCN PEDIATRIC CARE,91744,1851572572,05G906,1995-09-05
"Independent Options, Inc.",1289 N 3rd Ave,Upland,SAN BERNARDINO,240001687,INDEPENDENT OPTIONS INC/THIRD AVENUE HOUSE,91786,1851463483,55G251,1998-09-03
Retreat for Children,8339 Cypress Ct,Dublin,ALAMEDA,630004241,RETREAT FOR CHILDREN,94568,1922158518,55G544,2006-01-12
Valley Village,14185 Astoria St,Sylmar,LOS ANGELES,960002742,VALLEY VILLAGE HOUSE,91342,,,2002-04-26
Home of Guiding Hands Corporation,10200 Aquilla Dr,Lakeside,SAN DIEGO,090000971,AQUILLA,92040,1962463745,05G569,1992-03-05
BrightSpring,412 N Grand Ave,Glendora,LOS ANGELES,960002312,GRAND AVENUE HOME,91741,1174650394,55G287,1999-04-23
BrightSpring,879 Meinecke Ave,San Luis Obispo,SAN LUIS OBISPO,050000045,CASA DE VIDA,93405,1689889131,05G036,1972-05-30
Peppermint Ridge,825 Magnolia Ave,Corona,RIVERSIDE,250000119,EVERGREEN ESTATES,92879,1285847301,05G071,1982-12-10
"Enriching, Inc.",2507 Christopher Ln,Costa Mesa,ORANGE,060001034,"ENRICHING, INC. III",92626,1528100302,05G478,1990-08-10
"Noia Residential Services, Inc.",1580 E Almendra Dr,Fresno,FRESNO,040000308,CASA FLAMENGOS,93710,1992858591,05G280,
"Shirley's Care Home, Inc.",2330 Shropshire Drive,Stockton,SAN JOAQUIN,100001766,SHIRLEY'S ICF/DD-N #3,95209,1326225665,55G389,2001-04-16
"Therapeutic Living Centers for the Blind, Inc.",7937 Lindley Ave,Reseda,LOS ANGELES,960001210,KRONENTHAL HOUSE,91335,1093924912,05G473,1990-09-28
Tupaz Homes LLC,2893 Ross Ave,San Jose,SANTA CLARA,070000568,TUPAZ HOME #10,95124,1518178904,55G753,1990-12-03
Gateway Center of Monterey County Inc.,840 Congress Ave,Pacific Grove,MONTEREY,630016694,GATEWAY CENTER ICF2,93950,1003262239,55G760,2017-09-29
CORNERSTONE HOUSE OF SANTA BARBARA,1451 Camino Trillado,Carpinteria,SANTA BARBARA,050000442,CORNERSTONE HOUSE OF SANTA BARBARA,93013,1093996829,05G299,1987-12-23
BrightSpring,1748 S Heather Ln,Anaheim,ORANGE,060001576,HEATHER LANE HOME,92802,1376679738,55G169,1997-12-23
Bridle Home LLC,3336 Bridle Drive,Hayward,ALAMEDA,020001179,BRIDLE ICF/DD-N,94541,1679569115,55G263,1999-04-14
"CRE Enterprise, Inc.",138 Rosewood Way,South San Francisco,SAN MATEO,220001160,ROSEWOOD HOME ICF/DDH,94080,1891822219,55G467,2002-10-31
"Lonika's Home, Inc.",24652 Doria Ave,Mission Viejo,ORANGE,630011297,LONIKA HOME DORIA,92691,1457428427,55G597,2008-01-03
"Bright Expectations, Inc.",1970 Longmont St,Riverside,RIVERSIDE,250001682,LONGMONT DIVISION,92506,1518132844,55G446,1998-08-06
"Independent Options, Inc.",5899 Kachina Dr,Riverside,RIVERSIDE,250000569,KACHINA HOUSE,92509,1851463483,05G301,1988-03-07
"Harbor Health Care, Inc.",7642 Black Star Ln,La Palma,ORANGE,060001278,"HARBOR HEALTH CARE, INC. - BLACK STAR DIVISION",90623,1326176769,05G779,1994-03-15
"Independent Options, Inc.",24218 Silver Spray Dr,Diamond Bar,LOS ANGELES,960000925,SILVER SPRAY HOUSE,91765,1851463483,05G379,1989-01-03
"North Valley Developmental Services, Inc.",3329 Old Lantern Dr,Redding,SHASTA,230000109,NVDS - OLD LANTERN,96003,1427210913,05G216,1986-05-23
The Arc of San Diego,9415 Pryor Dr,Santee,SAN DIEGO,090000140,PRYOR STREET GROUP HOME,92071,1801012927,05G283,
Kelly and Scott's Care Home,1324 5th Pl,Delano,KERN,120001683,KELLY & SCOTT'S CARE HOME INC. #2,93215,1184759227,55G518,2004-12-24
BrightSpring,601 Taylor Pl,Arroyo Grande,SAN LUIS OBISPO,050000931,TAYLOR COMMUNITY HOME,93420,1457487852,05G728,1993-11-10
"Meridian Health Care Services, Inc.",5294 E Heaton Ave,Fresno,FRESNO,630011872,SAINT CLARE HOME,93727,1487703302,55G631,2009-04-23
"Brandt Group Homes, Inc.",7357 Woodruff Way,Citrus Heights,SACRAMENTO,100000911,JEAN MARTIN HOME #2,95621,1912047556,05G307,1989-08-09
NUZON CORPORATION,26961 Recodo Ln,Mission Viejo,ORANGE,630013009,RECODO LANE HOME,92691,1336444629,55G678,2011-07-14
Elena Dumitrescu,25611 Belhaven Street,Hayward,ALAMEDA,020000877,ELENA'S ICF/DD-H,94545,1386700664,05G810,1993-11-12
"Excel-Care Services, Inc.",22720 Burton St,Canoga Park,LOS ANGELES,960001949,BURTON HOME,91304,1073941118,05G958,1995-11-02
"San Gabriel Valley Children's Care, Inc.",19244 E Elberland St,West Covina,LOS ANGELES,960002689,G & E CARE HOME,91792,1396824132,55G406,2001-06-30
Peppermint Ridge,825 Magnolia Ave,Corona,RIVERSIDE,250001769,ROGER RESIDENCE,92879,1063634541,55G428,2002-03-11
"Developmental Client Care Industries, Inc.",24576 Ormista Dr,Moreno Valley,RIVERSIDE,250001440,ORMISTA HOUSE,92553,1912056888,05G934,1995-10-05
"Bethesda Lutheran Communities, Inc.",24842 Mithra Ave,Mission Viejo,ORANGE,060000078,BETHESDA LUTHERAN COMMUNITIES - MITHRA,92691,1417010604,05G148,1985-02-14
"L&amp;N, Inc.",25247 Calaroga Avenue,Hayward,ALAMEDA,020001289,NEAL'S HOME,94545,1023219466,55G516,2004-06-15
"Gentry ICF, Inc.",2725 Shannon Drive,South San Francisco,SAN MATEO,630016533,"GENTRY ICF, INC.",94080,1487015558,55G762,2017-01-17
Mountain Shadows Support Group,866 Viking Ln,San Marcos,SAN DIEGO,090001340,MOUNTAIN SHADOWS COMMUNITY HOMES - OAK,92069,1235254582,55G005,1996-05-28
Home of Guiding Hands Corporation,10111 Los Ranchitos Rd,Lakeside,SAN DIEGO,090000101,HOME OF GUIDING HANDS LOS RANCHITOS WAY,92040,1831124890,05G187,1985-05-24
National Mentor Healthcare LLC,9605 Holly Oak Dr,Bakersfield,KERN,120001011,"LOYD'S LIBERTY HOMES, INC. - HOLLY OAK",93311,1174739544,05G872,1995-02-01
"West LA Support Services, Inc.",1857 S Hayworth Ave,Los Angeles,LOS ANGELES,960001621,WEST LA SUPPORT SERVICES HOME #2,90035,1164641270,05G681,1993-04-14
"Ruus Manor, Inc.",29255 Ruus Road,Hayward,ALAMEDA,020000836,RUUS MANOR,94544,1740450485,05G668,1993-02-23
Valley Village,9701 Corbin Ave,Northridge,LOS ANGELES,960002148,VALLEY VILLAGE CORBIN HOUSE,91324,1508918376,55G258,1997-04-14
"Therapeutic Living Centers for the Blind, Inc.",7355 Shoup Ave,West Hills,LOS ANGELES,630012659,TLC SHOUP HOUSE,91307,1528399482,55G668,2011-02-24
Jonbec Care Incorporated,11868 Canal St,Grand Terrace,SAN BERNARDINO,240001263,CANAL DIVISION,92313,1811037492,05G724,1993-09-14
"Harris Care Centers, Inc.",11581 Lenmar St,Stanton,ORANGE,060001096,LENMAR HOME,90680,1285722876,05G735,1991-12-05
BrightSpring,501 Bowling Green Dr,Claremont,LOS ANGELES,960001965,BOWLING HOUSE,91711,1588790380,05G978,1995-12-01
"Pilar M. De Castro &amp; Co., Inc.",8571 Bel Air St,Buena Park,ORANGE,060001079,BEL AIR,90620,1316021942,05G521,1991-06-05
"Woodland Residential Services, Inc.",418 North Street,Woodland,YOLO,100001455,WRS INC. NORTH PROGRAM,95695,1033328901,55G040,1996-10-18
BrightSpring,10162 Hill Rd,Garden Grove,ORANGE,060001583,HILL ROAD HOME,92840,1932235942,55G168,1997-12-18
Marilou Velasco,765 E Yucca St,Oxnard,VENTURA,050001475,ST THOMAS AQUINAS HOME,93033,1982673315,55G528,2005-02-03
Mountain Shadows Support Group,2067 W El Norte Pkwy,Escondido,SAN DIEGO,090000316,MOUNTAIN SHADOWS COMMUNITY HOMES - APPLE,92026,1205951464,05G241,1986-12-01
Circle of Care Corporation,2130 Turnhouse Ln,San Jose,SANTA CLARA,630010977,CIRCLE OF CARE ICF/DD-N,95121,1396995072,55G604,2007-08-31
Marcee and Gregory Hirst,368 Greentree Rd,Norco,RIVERSIDE,250001712,GREENTREE HOUSE,92860,1053452789,55G305,1999-07-06
BrightSpring,1361 N Brian Ave,Azusa,LOS ANGELES,960002308,BRIAN AVENUE HOME,91702,1003943838,55G307,1999-05-06
Peppermint Ridge,825 Magnolia Ave,Corona,RIVERSIDE,250000553,CONNER RESIDENCE,92879,1295957728,05G272,1987-09-16
"Pilar M. De Castro &amp; Co., Inc.",9581 Crestwood Ln,Anaheim,ORANGE,630011370,CRESTWOOD HOME ICF/DD-N,92804,1316021942,55G651,2008-09-25
Emma Aralar,11937 Strathern St,North Hollywood,LOS ANGELES,960001898,EMILY CARE CENTER II,91605,1518124056,05G959,1995-06-12
"Positive Directions, Inc.",1755 Main St,Delano,KERN,120001178,POSITIVE DIRECTIONS #8,93215,1467675017,55G015,1996-08-06
Kelly and Scott's Care Home,332 N Indiana St,Porterville,TULARE,120001528,KELLY & SCOTT'S CARE HOME INC. #3,93257,1184759227,55G031,1996-10-15
EPIPHANY CARE HOMES INC,1910 Rhonda St,Oxnard,VENTURA,050001072,PEARL HOME,93030,1235266479,05G871,1995-05-01
Jonbec Care Incorporated,"13131 6th Pl, Unit 2",Yucaipa,SAN BERNARDINO,240000649,CANTERBURY HOUSE,92399,1780724286,05G316,1988-10-04
"Independent Options, Inc.",2331 Nutwood Ave,Fullerton,ORANGE,060000516,"INDEPENDENT OPTIONS, INC. NUTWOOD HOUSE",92831,1851463483,05G232,1986-10-09
TLC Homes LLC,3515 Farm Bureau Court,Concord,CONTRA COSTA,140001324,FARM BUREAU HOUSE,94519,1952465718,05G461,1997-01-01
National Mentor Healthcare LLC,2518 Newport Ln,Bakersfield,KERN,120000339,"LOYD'S LIBERTY HOMES, INC. - NEWPORT HOME",93309,1629284088,05G268,
BrightSpring,1775 Augusta Ln,Yuba City,SUTTER,230000563,RCCA AUGUSTA LANE #1,95993,1316072622,05G915,1995-07-26
Liberty Homes Hathaway ICF-DDH,19834 Hathaway Avenue,Hayward,ALAMEDA,630003121,HATHAWAY ICF/DD-H,94541,1659545069,55G583,2006-02-01
Jmar Homes Incorporated,5604 Nicholas St,Bakersfield,KERN,120000840,WHITE LANE HOME,93304,1063693240,05G709,1993-04-19
"Therapeutic Living Centers for the Blind, Inc.",7937 Lindley Ave,Reseda,LOS ANGELES,960001498,TLC - LINDLEY II,91335,1679783161,05G610,1992-08-01
"North Valley Developmental Services, Inc.",4525 Walker Ln,Shasta Lake,SHASTA,230000719,"NVDS, INC - WALKER HOUSE",96019,1598739062,55G261,1999-07-01
"JANET'S ENTERPRISE, INC.",6120 Buchanan Ave,San Bernardino,SAN BERNARDINO,240000126,JANE HOUSE,92404,1568511459,05G161,1985-08-27
"Elizabeth G. Santos, Inc.",6287 San Ricardo Way,Buena Park,ORANGE,060001192,ELIZABETH HOMES I,90620,1437241692,05G652,1993-01-04
Angela Niculescu,2478 Warren Lane,Walnut Creek,CONTRA COSTA,140001332,HAPPY VALLEY,94597,1497890677,05G807,1994-03-30
Tupaz Homes LLC,14910 Union Ave,San Jose,SANTA CLARA,070000476,TUPAZ HOME,95124,1407067937,55G746,1991-04-01
The Arc of San Diego,2244 Meadow Lark Dr,San Diego,SAN DIEGO,090000707,HELMER GROUP HOME,92123,1043492879,05G053,
"Villa de Martin Jude Homes, Inc.",520 S Archer St,Anaheim,ORANGE,060001604,VILLA DE MARTIN JUDE HOMES - ARCHER,92804,1194808261,55G225,1998-10-08
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,13655 Woodcock Ave,Sylmar,LOS ANGELES,960000909,UCP/SCF ICF/DD-H RANCH HOUSE,91342,1518118082,05G251,1986-12-04
"Bethesda Lutheran Communities, Inc.",2430 Richert Ave,Clovis,FRESNO,040000646,BETHESDA LUTHERAN COMMUNITES - RICHERT,93611,1417010604,05G519,1991-05-10
"Community Care Initiatives, Inc.|Fisher Trust",180 Little Foot Dr,Fremont,ALAMEDA,020000334,LITTLEFOOT HOUSE,94539,1164564423,05G745,1987-12-07
CA Department Of Developmental Services,2501 Harbor Blvd,Costa Mesa,ORANGE,170001769,FAIRVIEW DEVELOPMENTAL CENTER D/P ICFDD,92626,1225089592,05G022,
"Lynwood Developmental Care, Inc.",709 W Raymond St,Compton,LOS ANGELES,960002060,RAYMOND HOUSE,90220,1154542694,55G051,1996-06-06
"Heritage Estates, Inc.",1151 Locust Avenue,Manteca,SAN JOAQUIN,100000194,LOCUST HOME,95337,1710171749,05G176,1985-08-01
"Bethesda Lutheran Communities, Inc.",587 Gateway Ave,Clovis,FRESNO,040001000,BETHESDA LUTHERAN COMMUNITIES - GATEWAY,93612,1417010604,05G895,1995-07-13
"PSB Homes, Inc.",8241 Dracaena Dr,Buena Park,ORANGE,060001502,"PSB HOMES, INC./DRACAENA HOME",90620,1609195221,55G034,1996-09-17
"Our House Residential Care, Inc.",525 Shannon Ave,Madera,MADERA,040000956,OUR HOUSE SHANNON,93637,1467517912,05G937,1995-02-10
Home of Guiding Hands Corporation,533 Claydelle Ave,El Cajon,SAN DIEGO,090000114,JACK CLOSE HOUSE,92020,1831151851,05G058,1982-12-31
Valley Village,16124 Tupper St,North Hills,LOS ANGELES,960001771,VALLEY VILLAGE TUPPERHOUSE,91343,1245383975,05G468,1994-04-22
"B &amp; D Morgan, Inc.",502 N B St,Exeter,TULARE,120001511,NEW HORIZONS 'B',93221,1497883359,05G876,1995-05-16
Home of Guiding Hands Corporation,6476 Bisby Lake Ave,San Diego,SAN DIEGO,090000728,BISBY LAKE,92119,1508820937,05G403,1988-11-22
